category,spend,suppliers,lines,avg_per_supplier,suppliers_per_$1m,top_supplier_share,spend_score,risk_score,quadrant,strategy
Seeds And Bulbs And Seedlings And Cuttings,1403908.65,25,138,56156.346,17.80742643048748,0.17640945513085915,0.05437722985768682,0.07464424271386055,Routine,"Simplify - catalogue buying, e-procurement"
Clinical Nutrition,1375372.44,14,166,98240.88857142857,10.179061025826575,0.6981775714511191,0.05327194423213189,0.3979849524498076,Bottleneck,"Secure - buffer stock, qualify alternates"
Specialized Trade Construction And Maintenance Services,1318690.82,35,148,37676.88057142857,26.541475430912605,0.28967312444019283,0.051076509736129566,0.12628378095229303,Routine,"Simplify - catalogue buying, e-procurement"
Paints And Primers And Finishes,1309727.34,46,130,28472.333478260873,35.121813979999835,0.28340284932892984,0.05072932958855745,0.11583765640115126,Routine,"Simplify - catalogue buying, e-procurement"
Electrical Wire Management Devices And Accessories And Supplies,1245455.24,24,86,51893.96833333333,19.270062246476236,0.23821416496669925,0.04823989499811152,0.11085490934436354,Routine,"Simplify - catalogue buying, e-procurement"
Additives,1234945.01,54,111,22869.35203703704,43.72664334260519,0.2341211775899236,0.04783280498369559,0.08504143292702498,Routine,"Simplify - catalogue buying, e-procurement"
Elements And Gases,1192866.53,24,108,49702.77208333334,20.119602148615904,0.46107421590578107,0.04620299012428713,0.23531773006384268,Bottleneck,"Secure - buffer stock, qualify alternates"
Prefabricated Buildings And Structures,1158839.05,26,144,44570.73269230769,22.436247725687185,0.2866241865080401,0.04488501256111887,0.13463325374273255,Routine,"Simplify - catalogue buying, e-procurement"
Structural Building Products,1150530.92,19,46,60554.25894736842,16.51411506611226,0.4341284978242914,0.044563215915234856,0.23141375766655867,Bottleneck,"Secure - buffer stock, qualify alternates"
Security Surveillance And Detection,1144769.59,51,126,22446.46254901961,44.550449667343095,0.20444358589224926,0.044340063813639086,0.0695742819732877,Routine,"Simplify - catalogue buying, e-procurement"
Power Sources,1137673.19,59,157,19282.596440677964,51.860235890765786,0.22412763370120378,0.0440652007917736,0.07786514796632026,Routine,"Simplify - catalogue buying, e-procurement"
Water And Wastewater Treatment Supply And Disposal,1111043.03,31,66,35840.09774193548,27.901709621453634,0.23447606705205642,0.043033741706834584,0.09920441592564894,Routine,"Simplify - catalogue buying, e-procurement"
Metal Cutting Machinery And Accessories,1103355.62,27,52,40865.02296296297,24.47080479818465,0.4557819354742581,0.042735987247824535,0.22765657353807045,Bottleneck,"Secure - buffer stock, qualify alternates"
Minerals And Ores And Metals,1076968.22,18,57,59831.567777777775,16.713585104674678,0.3640868808552215,0.04171393092304391,0.19526884508993825,Bottleneck,"Secure - buffer stock, qualify alternates"
Oil And Gas Drilling And Exploration Equipment,1054049.01,67,168,15732.074776119403,63.564406744236685,0.17793033172148232,0.040826207102604026,0.05000793518844144,Routine,"Simplify - catalogue buying, e-procurement"
Lighting Fixtures And Accessories,1023168.34,53,116,19305.063018867924,51.79988270551843,0.15761658536072373,0.03963011411553583,0.04267030301400868,Routine,"Simplify - catalogue buying, e-procurement"
