category_id,segment,category,commodity
121,Food Beverage And Tobacco Products,Dairy Products And Eggs,Prepared Eggs
122,Food Beverage And Tobacco Products,Fresh Fruits,Delicious Apples
123,Food Beverage And Tobacco Products,Frozen Vegetables,Frozen Amsterdam Carrots
124,Food Beverage And Tobacco Products,Fresh Vegetables,Round White Potatoes
125,Chemicals Including Bio Chemicals And Gas Materials,Solvents,Alcohol Solvents
126,Information Technology Broadcasting And Telecommunications,Computer Equipment And Accessories,Desktop Computers
127,Apparel And Luggage And Personal Care Products,Clothing,Womens Athletic Wear
128,Apparel And Luggage And Personal Care Products,Personal Care Products,Razors
129,Politics And Civic Affairs Services,Community And Social Services,Agricultural Research Services
130,Medical Equipment And Accessories And Supplies,Wound Care Products,Gauze Sponges
131,Medical Equipment And Accessories And Supplies,Wound Care Products,Suture
132,Food Beverage And Tobacco Products,Frozen Vegetables,Frozen Nori
133,Engineering And Research And Technology Based Services,Professional Engineering Services,Printing Equipment Maintenance
134,Laboratory And Measuring And Observing And Testing Equipment,Measuring And Observing And Testing Instruments,Temperature Sensor
135,Tools And General Machinery,Hand Tools,Hammers
136,Electrical Systems And Lighting And Components And Accessories And Supplies,Lighting Fixtures And Accessories,Vandal Resistant Light Fixture
137,Medical Equipment And Accessories And Supplies,Medical Sterilization Products,Steam Autoclaves Or Sterilizers
138,Food Beverage And Tobacco Products,Meat And Poultry Products,"Specialty Meat, Minimally Processed Without Additions"
139,Medical Equipment And Accessories And Supplies,Respiratory And Anesthesia And Resuscitation Products,Endotracheal Tubes
140,Medical Equipment And Accessories And Supplies,Patient Care And Treatment Products And Supplies,Tuberculin Syringes
141,Office Equipment And Accessories And Supplies,Office Supplies,Folders
142,Food Beverage And Tobacco Products,Fresh Vegetables,Cherry Tomatoes
143,Timepieces And Jewelry And Gemstone Products,Timepieces,Wrist Watches
144,Apparel And Luggage And Personal Care Products,Personal Care Products,Eye Care Supplies
145,Structures And Building And Construction And Manufacturing Components And Supplies,Plumbing Fixtures,Urinals
146,Food Beverage And Tobacco Products,Seasonings And Preservatives,Salad Dressing Or Dips
147,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Shelf Stable Combination Meals
148,Drugs And Pharmaceutical Products,Drugs Affecting The Respiratory Tract,Acetylcysteine
149,Tools And General Machinery,Hand Tools,End Mills
150,Medical Equipment And Accessories And Supplies,Wound Care Products,Suture Needles
151,Electronic Components And Supplies,Discrete Semiconductor Devices,Power Diodes
152,Distribution And Conditioning Systems And Equipment And Components,Fluid And Gas Distribution,Ball Valves
153,Manufacturing Components And Supplies,Paints And Primers And Finishes,Coating Paints
154,Manufacturing Components And Supplies,Industrial Optics,Lenses
155,Domestic Appliances And Supplies And Consumer Electronic Products,Domestic Appliances,Domestic Refrigerators
156,Environmental Services,Environmental Management,Environmental Impact Assessment Eia Services
157,Service Industry Machinery And Equipment And Supplies,Institutional Food Services Equipment,Commercial Use Combination Oven
158,Information Technology Broadcasting And Telecommunications,Software,Operating System Software
159,Manufacturing Components And Supplies,Hardware,Coupling Half
160,Drugs And Pharmaceutical Products,Anti Infective Drugs,Povidone Iodine
161,Food Beverage And Tobacco Products,Seafood,Shelf Stable Fish
162,Electronic Components And Supplies,Printed Circuits And Integrated Circuits And Microassemblies,Random Access Memory Ram
163,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Crisps Or Chips Or Pretzels Or Mixes
164,Food Beverage And Tobacco Products,Dairy Products And Eggs,Egg Products And Substitutes From Chickens
165,Healthcare Services,Medical Surgical Equipment Maintenance Refurbishment And Repair Services,Medical Minor Equipment Maintenance Or Repair
166,Apparel And Luggage And Personal Care Products,Personal Care Products,Disposable Personal Wipes
167,Domestic Appliances And Supplies And Consumer Electronic Products,Consumer Electronics,Headphones
168,Food Beverage And Tobacco Products,Fresh Fruits,Green Bananas
169,Distribution And Conditioning Systems And Equipment And Components,Pipe Piping And Pipe Fittings,Commercial Copper Pipe
170,Food Beverage And Tobacco Products,Bread And Bakery Products,Sweet Biscuits Or Cookies
171,Medical Equipment And Accessories And Supplies,Surgical Products,Ophthalmic Medical Instrument Sets
172,Cleaning Equipment And Supplies,Janitorial Equipment,Vacuum Cleaners
173,Food Beverage And Tobacco Products,Fresh Vegetables,Amsterdam Carrots
174,Power Generation And Distribution Machinery And Accessories,Power Sources,Turbine Engines
175,Food Beverage And Tobacco Products,Canned Or Jarred Vegetables,Canned Or Jarred Siberia Tomato Tomatoes
176,Manufacturing Components And Supplies,Housings And Cabinets And Casings,Gear Box Housings
177,Food Beverage And Tobacco Products,Dried Vegetables,Dried Black Beans
178,Office Equipment And Accessories And Supplies,Office Supplies,Paper Clips
179,Chemicals Including Bio Chemicals And Gas Materials,Additives,Detergent Surfactants
180,Food Beverage And Tobacco Products,Bread And Bakery Products,Shelf Stable Bread
181,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Instant Snack Mixes
182,Food Beverage And Tobacco Products,Fresh Vegetables,Boiling Onions
183,Paper Materials And Products,Paper Products,Multipurpose Paper
184,Published Products,Signage And Accessories,Addressing Or Mailing Labels
185,Food Beverage And Tobacco Products,Meat And Poultry Products,"Mixed Species Meat, Minimally Processed Without Additions"
186,Medical Equipment And Accessories And Supplies,Wound Care Products,Alginate Dressing
187,Food Beverage And Tobacco Products,Bread And Bakery Products,Crackers
188,Structures And Building And Construction And Manufacturing Components And Supplies,Interior Finishing Materials,Carpet Pads
189,Commercial And Military And Private Vehicles And Their Accessories And Components,Transportation Components And Systems,Vehicle Bumpers
190,Apparel And Luggage And Personal Care Products,Personal Care Products,Nail Clippers
191,Apparel And Luggage And Personal Care Products,Clothing,Socks
192,Apparel And Luggage And Personal Care Products,Clothing,Gloves Or Mittens
193,Paper Materials And Products,Paper Products,Paper Pads Or Notebooks
194,Tools And General Machinery,Hand Tools,Impact Wrenches
195,Laboratory And Measuring And Observing And Testing Equipment,Measuring And Observing And Testing Instruments,Stereo Or Dissecting Light Microscopes
196,Manufacturing Components And Supplies,Paints And Primers And Finishes,Latex Paints
197,Information Technology Broadcasting And Telecommunications,Data Voice Or Multimedia Network Equipment Or Platforms And Accessories,Network System Cabinet Or Enclosure
198,Food Beverage And Tobacco Products,Fresh Fruits,Washington Navel Oranges
199,Resin And Rosin And Rubber And Foam And Film And Elastomeric Materials,Resins And Rosins And Other Resin Derived Materials,Epoxy
200,Information Technology Broadcasting And Telecommunications,Computer Equipment And Accessories,Notebook Computers
201,Tools And General Machinery,Hand Tools,Grinders
202,Distribution And Conditioning Systems And Equipment And Components,Industrial Pumps And Compressors,Air Compressors
203,Electrical Systems And Lighting And Components And Accessories And Supplies,Lighting Fixtures And Accessories,Light Cart
204,Laboratory And Measuring And Observing And Testing Equipment,Measuring And Observing And Testing Instruments,Monitor Or Meter Accessories
205,Office Equipment And Accessories And Supplies,Office Supplies,Postage Stamp Dispensers
206,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Processed Grapefruit Fruit
207,Apparel And Luggage And Personal Care Products,Personal Care Products,Denture Adhesive
208,Medical Equipment And Accessories And Supplies,Medical Facility Products,Medical Carts Or Accessories
209,Office Equipment And Accessories And Supplies,Office Machines And Their Supplies And Accessories,Scanner Document Feeders
210,Food Beverage And Tobacco Products,Meat And Poultry Products,"Chicken, Minimally Processed Without Additions"
211,Defense And Law Enforcement And Security And Safety Equipment And Supplies,Security Surveillance And Detection,Key Chains Or Key Cases
212,Cleaning Equipment And Supplies,Water And Wastewater Treatment Supply And Disposal,Boiler Feed Chemicals
213,Furniture And Furnishings,Accommodation Furniture,Filing Cabinets Or Accesories
214,Sports And Recreational Equipment And Supplies And Accessories,Sports Equipment And Accessories,Basketball Hoop
215,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Shelf Stable Prepared Soups Or Stews
216,Distribution And Conditioning Systems And Equipment And Components,Fluid And Gas Distribution,Relief Valves
217,Manufacturing Components And Supplies,Hardware,Bolt Nut
218,Published Products,Signage And Accessories,Printer Labels
219,Food Beverage And Tobacco Products,Fresh Fruits,Ambrosia Apples
220,Food Beverage And Tobacco Products,Fresh Vegetables,Cilantro
221,Defense And Law Enforcement And Security And Safety Equipment And Supplies,Law Enforcement,Weapon Or Explosives Detectors And Supplies
222,Information Technology Broadcasting And Telecommunications,Components For Information Technology Or Broadcasting Or Telecommunications,Control Unit
223,Food Beverage And Tobacco Products,Meat And Poultry Products,"Chicken, Minimally Processed With Additions"
224,Food Beverage And Tobacco Products,Canned Or Jarred Fruit,Canned Or Jarred Amber Crest Peaches
225,Medical Equipment And Accessories And Supplies,Patient Exam And Monitoring Products,Electronic Blood Pressure Units
226,Personal And Domestic Services,Domestic And Personal Assistance,Laundry Services
227,Structures And Building And Construction And Manufacturing Components And Supplies,Plumbing Fixtures,Shower Head
228,Food Beverage And Tobacco Products,Fresh Vegetables,Blackeyed Beans
229,Tools And General Machinery,Hand Tools,Saw Blades
230,Food Beverage And Tobacco Products,Beverages,Pear Juice
231,Power Generation And Distribution Machinery And Accessories,Power Sources,Cylinder Block
232,Building And Construction Machinery And Accessories,Heavy Construction Machinery And Equipment,Backhoes
233,Medical Equipment And Accessories And Supplies,Wound Care Products,Disinfectant Kits
234,Medical Equipment And Accessories And Supplies,Medical Sterilization Products,Sterilization Towels
235,Medical Equipment And Accessories And Supplies,Patient Care And Treatment Products And Supplies,Medical Syringes With Needles
236,Food Beverage And Tobacco Products,Dairy Products And Eggs,Fresh Milk Or Butter Products
237,Building And Facility Construction And Maintenance Services,Specialized Trade Construction And Maintenance Services,Voice And Data And Video Wiring Service
238,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Nuts Or Dried Fruits
239,Distribution And Conditioning Systems And Equipment And Components,Fluid And Gas Distribution,Hose Reel
240,Mining And Well Drilling Machinery And Accessories,Oil And Gas Drilling And Exploration Equipment,Gauge Rings
241,Food Beverage And Tobacco Products,Frozen Vegetables,Frozen Green Beans
242,Tools And General Machinery,Hand Tools,Hole Saws
243,Healthcare Services,Medical Practice,Drug Or Alcohol Screening
244,Service Industry Machinery And Equipment And Supplies,Institutional Food Services Equipment,Food Service Trays
245,Food Beverage And Tobacco Products,Fresh Vegetables,Brown Mushrooms
246,Mineral And Textile And Inedible Plant And Animal Materials,Fabrics And Leather Materials,Plain Weave Wool Fabrics
247,Food Beverage And Tobacco Products,Fresh Fruits,Api Apples
248,Paper Materials And Products,Industrial Use Papers,Cardboard
249,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Frozen Prepared Potatoes Or Rice Or Pasta Or Stuffing
250,Manufacturing Components And Supplies,Hardware,Locknuts
251,Food Beverage And Tobacco Products,Canned Or Jarred Vegetables,Canned Tuna
252,Office Equipment And Accessories And Supplies,Office Supplies,Hanging Folders Or Accessories
253,Electrical Systems And Lighting And Components And Accessories And Supplies,Electrical Equipment And Components And Supplies,Electrical Box Hardware And Accessories
254,Editorial And Design And Graphic And Fine Art Services,Reproduction Services,Textbook Or Research Publishing
255,Manufacturing Components And Supplies,Hardware,Clamp Coupling
256,Drugs And Pharmaceutical Products,Hormones And Hormone Antagonists,Insulin
257,Food Beverage And Tobacco Products,Dairy Products And Eggs,Processed Cheese
258,Published Products,Signage And Accessories,Badges Or Badge Holders
259,Engineering And Research And Technology Based Services,Computer Services,Industry Specific Software Maintenance
260,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Frozen Combination Meals
261,Fuels And Fuel Additives And Lubricants And Anti Corrosive Materials,Fuels,Diesel Fuel
262,Published Products,Signage And Accessories,Self Adhesive Labels
263,Published Products,Signage And Accessories,Key Tags
264,Manufacturing Components And Supplies,Hardware,Flange Nuts
265,Apparel And Luggage And Personal Care Products,Clothing,Womens Slacks Or Trousers Or Shorts
266,Commercial And Military And Private Vehicles And Their Accessories And Components,Marine Transport,Cargo Or Container Ships
267,Domestic Appliances And Supplies And Consumer Electronic Products,Domestic Kitchenware And Kitchen Supplies,Domestic Spoons
268,Medical Equipment And Accessories And Supplies,Respiratory And Anesthesia And Resuscitation Products,Respiratory Aspirator Products Or Accessories
269,Cleaning Equipment And Supplies,Cleaning And Janitorial Supplies,Brooms
270,Food Beverage And Tobacco Products,Prepared And Preserved Foods,Batter Or Breading Mixes
